t,value
1637710421,0.001991421568627451
1637710451,0.002144607843137255
1637710481,0.002144607843137255
1637710511,0.002144607843137255
1637710541,0.002144607843137255
1637710571,0.002190563725490196
1637710601,0.002190563725490196
1637710631,0.002190563725490196
1637710661,0.002190563725490196
1637710691,0.002190563725490196
1637710721,0.002190563725490196
1637710751,0.002190563725490196
1637710781,0.002190563725490196
1637710811,0.002190563725490196
1637710841,0.002190563725490196
1637710871,0.002190563725490196
1637710901,0.002190563725490196
1637710931,0.0022058823529411764
